사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2023-09,1호선,0150,서울역,1302969,1278959,196432,187106
2023-09,1호선,0151,시청,627933,636796,98111,98402
2023-09,1호선,0152,종각,899554,882768,138210,127736
2023-09,1호선,0153,종로3가,467997,418953,285136,262510
2023-09,1호선,0154,종로5가,474020,472301,243837,235844
2023-09,1호선,0155,동대문,244748,240045,117292,116736
2023-09,1호선,0156,신설동,278667,266224,115977,112061
2023-09,1호선,0157,제기동,225337,213872,293172,317701
2023-09,1호선,0158,청량리(서울시립대입구),357847,348368,276674,280143
2023-09,1호선,0159,동묘앞,143466,149942,152241,153930
2023-09,2호선,0201,시청,627077,587581,58310,53764
2023-09,2호선,0202,을지로입구,1206816,1229355,98980,91150
2023-09,2호선,0203,을지로3가,588752,580810,70324,68301
2023-09,2호선,0204,을지로4가,308919,313793,78663,77614
2023-09,2호선,0205,동대문역사문화공원(DDP),378329,437379,54361,58523
2023-09,2호선,0206,신당,324661,344243,89679,91095
2023-09,2호선,0207,상왕십리,334914,320608,65125,65818
2023-09,2호선,0208,왕십리(성동구청),401128,348301,50126,44818
2023-09,2호선,0209,한양대,337372,372579,13273,14113
2023-09,2호선,0210,뚝섬,583249,618843,58641,58598
2023-09,2호선,0211,성수,959385,1077662,96442,97525
2023-09,2호선,0212,건대입구,959147,1012839,89641,92478
2023-09,2호선,0213,구의(광진구청),570344,548138,100980,101537
2023-09,2호선,0214,강변(동서울터미널),789388,770652,117178,114318
2023-09,2호선,0215,잠실나루,323128,311067,85598,85594
2023-09,2호선,0216,잠실(송파구청),1945617,1939759,202634,193835
2023-09,2호선,0217,잠실새내,542033,544402,108017,107155
2023-09,2호선,0218,종합운동장,362152,408972,49563,52059
2023-09,2호선,0219,삼성(무역센터),1340688,1358615,110501,102455
2023-09,2호선,0220,선릉,1239103,1087427,216048,190679
2023-09,2호선,0221,역삼,1139546,1287034,136328,137223
2023-09,2호선,0222,강남,1978673,1926696,151081,131502
2023-09,2호선,0223,교대(법원.검찰청),676986,813356,140930,167311
